message,likes,area
post-1,136,Tokyo
post-2,27,Osaka
post-3,125,Osaka
post-4,40,Kanazawa
post-5,19,Wakayama
post-6,101,Wakayama
post-7,125,Osaka
post-8,67,Kanazawa
post-9,137,Tokyo
post-10,77,Kumamoto
post-11,4,Kanazawa
post-12,167,Kagoshima
post-13,101,Nara
post-14,170,Kumamoto
post-15,169,Nagoya
post-16,59,Wakayama
post-17,97,Kumamoto
post-18,179,Nagoya
post-19,26,Kumamoto
post-20,60,Mito
post-21,147,Osaka
post-22,14,Hiroshima
post-23,192,Fukuoka
post-24,124,Kumamoto
post-25,45,Wakayama
post-26,16,Niigata
post-27,1,Wakayama
post-28,14,Wakayama
post-29,128,Wakayama
post-30,46,Fukuoka
post-31,32,Mito
post-32,17,Niigata
post-33,30,Tokyo
post-34,25,Saitama
post-35,113,Kyoto
post-36,193,Tokyo
post-37,184,Kyoto
post-38,178,Kumamoto
post-39,50,Niigata
post-40,14,Nagoya
post-41,90,Osaka
post-42,34,Hiroshima
post-43,152,Mito
post-44,16,Wakayama
post-45,48,Nagoya
post-46,64,Tokyo
post-47,94,Hiroshima
post-48,111,Kanazawa
post-49,30,Nagoya
post-50,24,Mito
post-51,153,Kanazawa
post-52,115,Niigata
post-53,129,Nara
post-54,29,Kumamoto
post-55,121,Niigata
post-56,153,Kagoshima
post-57,31,Kumamoto
post-58,120,Kumamoto
post-59,198,Mito
post-60,104,Kumamoto
post-61,172,Saitama
post-62,197,Saitama
post-63,88,Kanazawa
post-64,144,Nagoya
post-65,45,Niigata
post-66,194,Nagoya
post-67,102,Hiroshima
post-68,60,Fukuoka
post-69,81,Kanazawa
post-70,190,Fukuoka
post-71,102,Niigata
post-72,38,Kagoshima
post-73,159,Mito
post-74,111,Kumamoto
post-75,186,Mito
post-76,124,Kanazawa
post-77,66,Hiroshima
post-78,77,Tokyo
post-79,122,Kumamoto
post-80,162,Kanazawa
post-81,108,Tokyo
post-82,156,Hiroshima
post-83,133,Kumamoto
post-84,31,Fukuoka
post-85,37,Tokyo
post-86,165,Niigata
post-87,161,Saitama
post-88,137,Fukuoka
post-89,84,Mito
post-90,186,Osaka
post-91,74,Nara
post-92,2,Mito
post-93,10,Nagoya
post-94,135,Kanazawa
post-95,199,Nagoya
post-96,46,Wakayama
post-97,62,Nagoya
post-98,108,Kanazawa
post-99,18,Wakayama
post-100,6,Nagoya
post-101,179,Niigata
post-102,83,Nagoya
post-103,118,Kanazawa
post-104,116,Nara
post-105,140,Fukuoka
post-106,132,Kumamoto
post-107,36,Tokyo
post-108,131,Fukuoka
post-109,59,Kagoshima
post-110,174,Tokyo
post-111,199,Osaka
post-112,166,Kumamoto
post-113,121,Niigata
post-114,44,Fukuoka
post-115,162,Tokyo
post-116,24,Fukuoka
post-117,134,Kumamoto
post-118,95,Nara
post-119,135,Saitama
post-120,102,Tokyo
post-121,137,Nara
post-122,192,Kagoshima
post-123,51,Nagoya
post-124,29,Kyoto
post-125,155,Kagoshima
post-126,21,Nagoya
post-127,161,Hiroshima
post-128,35,Nagoya
post-129,138,Fukuoka
post-130,49,Kagoshima
post-131,185,Kagoshima
post-132,65,Osaka
post-133,135,Saitama
post-134,195,Nara
post-135,180,Kyoto
post-136,188,Hiroshima
post-137,161,Mito
post-138,155,Kanazawa
post-139,96,Tokyo
post-140,79,Osaka
post-141,175,Kanazawa
post-142,1,Kagoshima
post-143,50,Wakayama
post-144,60,Hiroshima
post-145,100,Saitama
post-146,38,Osaka
post-147,176,Kumamoto
post-148,129,Wakayama
post-149,165,Nara
post-150,170,Mito
post-151,109,Nagoya
post-152,166,Kumamoto
post-153,62,Kagoshima
post-154,42,Nara
post-155,104,Kanazawa
post-156,112,Nara
post-157,165,Saitama
post-158,8,Nara
post-159,32,Saitama
post-160,180,Mito
post-161,23,Nagoya
post-162,44,Kagoshima
post-163,165,Tokyo
post-164,175,Niigata
post-165,61,Kagoshima
post-166,192,Kyoto
post-167,78,Tokyo
post-168,89,Osaka
post-169,149,Kyoto
post-170,129,Wakayama
post-171,188,Tokyo
post-172,170,Fukuoka
post-173,112,Kanazawa
post-174,147,Tokyo
post-175,28,Hiroshima
post-176,186,Wakayama
post-177,68,Fukuoka
post-178,84,Tokyo
post-179,105,Kyoto
post-180,88,Nara
post-181,194,Niigata
post-182,126,Kagoshima
post-183,78,Kyoto
post-184,162,Kyoto
post-185,69,Mito
post-186,72,Mito
post-187,18,Osaka
post-188,59,Hiroshima
post-189,127,Nagoya
post-190,98,Kanazawa
post-191,115,Hiroshima
post-192,36,Wakayama
post-193,199,Nara
post-194,46,Hiroshima
post-195,105,Nagoya
post-196,38,Saitama
post-197,163,Niigata
post-198,41,Kagoshima
post-199,104,Nagoya
post-200,40,Osaka